Nome	Qtd.
BANDEIRA, MATERIAL POLIéSTER, COMPRIMENTO 128, LARGURA 90, COR DE ACORDO PROJETO, DESENHO DE ACORDO PROJETO, REPRESENTAçãO BRASIL 258386	10
BANDEJA DE AÇO, MATERIAL AÇO INOXIDÁVEL FORMATO RETANGULAR, COMPRIMENTO 38, LARGURA 24, APLICAÇÃO SERVIR REFEIÇÕES - 275677	3
BANDEJA DOCUMENTOS, MATERIAL ACRÍLICO, TIPO DUPLA, COR FUMÊ, COMPRIMENTO 370, LARGURA 250 399098	24
BANDEJA EM POLIETILENO 20X30X6 CAP. 2,5L	0
BANDEJA PLÁSTICA, TAMANHO 53X37X08 CM.	3
BANDEJA RETANGULAR INOX 30X20X4CM.	3
BARBANTE ALGODÃO, QUANTIDADE FIOS 12, ACABAMENTO SUPERFICIAL CRÚ	20
BARBANTE ALGODÃO, QUANTIDADE FIOS 12, ACABAMENTO SUPERFICIAL CRÚ 243667	2
BARBANTE DE ALGODAO 1KG .2506995	0
BASE PARA RELÉ	2
BATERIA NÃO RECARREGÁVEL, ALCALINA, 9V, PARA APARELHO ELETRO-ELETRÔNICO. 234354	9
Bico para vermifugação oral para ovinos compatível com a pistola automática dosadora 50 ml.	0
BLOCO PARA DESENHO- Bloco para desenhos técnicos e reuniões: "tipo flip chart" cor branca, com serrilha para dobra ou destaque para uso em cavalete, com 75g/m², dimensões 60X90cm, bloco com 50 folhas. item: 000001201.	10
BLOCO RECADO, MATERIAL PAPEL, COR AMARELO, LARGURA 76, COMPRIMENTO 102, TIPO REMOVÍVEL, CARACTERÍSTICAS ADICIONAIS AUTO-ADESIVO - BLOCO C/ 100 FOLHAS 229395	53
'BOIA PARA CAIXA D''ÁGUA 1/2 " DIAMETRO 1. 249821'	5
'BOIA PARA CAIXA D''ÁGUA 3/4" VASÃO TOTAL'	5
BOLSA TÉRMICA, MATERIAL PLÁSTICO RESISTENTE, TAMANHO PEQUENO, CARACTERÍSTICAS ADICIONAIS SELADA,COM GEL ATÓXICO, COMPRIMENTO 18,3, LARGURA 13 281403	0
Bomba de Inseticida Inseticida Spray Ae ação Total 300ml Marca: STRAIK	2
BORRACHA APAGADORA , ESCRITA , MATERIAL BORRACHA , COMPRIMENTO 45MM , LARGURA 23MM , ALTURA 12MM, COR BRANCA 200711	38
BORRACHA APAGADORA ESCRITA, MATERIAL BORRACHA, COMPRIMENTO 36, LARGURA 18, ALTURA 10, COR VERDE 200713	35
BRINCO PARA IDENTIFICAÇÃO DE OVINOS E CAPRINOS, SEM NUMERAÇÃO, LISO, DE PLÁSTICO POLIETANO FLEXIVEL, DIMENSÕES 15mm x 53mm, COR AMARELA, PCT COM 50un.	0
BUCHA - Bucha Plástica 8mm com anel. MARCA: NEWFIX. CATMAT: 000150413.	400
BUCHA 6mm COM ANEL. *	50
BUCHA REDUÇÃO - material PVC, bitola 1 1/2 x 1 polegada, cor branca, características adicionais rosqueável. Marca: Krona. CATMAT: 000345229.	0
CABEÇADA PARA EQUINOS , CONFECCIONADA EM LEGÍTIMO COURO DE BÚFALO - 0074616	1
CABO ELÉTRICO FLEXÍVEL - Material cobre eletrolítico, revestimento PVC-Cloreto de Polivinila, temperatura 70ºC, tensão isolamento 750 V, cor vermelha, seção nominal condutor 4 mm2, bitola condutor 4 mm2, quantidade fios 1. MARCA: CONDUMIG. CATMAT: 000237828.	200
CABO ELÉTRICO FLEXÍVEL - Material cobre eletrolítico. Revestimento PVC - Cloreto de Polivinila, Temperatura 70ºC, Tensão de isolamento 750 V, Cor Preta, Seção nominal condutor 2,5 mm², Bitola condutor 2,5 mm². Quantidade de fios 1. MARCA: ENERGY. CATMAT: 000239154.	0
Cabo elétrico flexível, material cobre eletrolítico, revestimento Pvc - cloreto de polivinila, temperatura 70, tensão isolamento, cor azul, seção nominal condutor 6, bitola condutor 8	0
CABO ELÉTRICO FLEXÍVEL, MATERIAL COBRE ELETROLÍTICO, REVESTIMENTO PVC, TEMPERATURA 70, TENSÃO ISOLAMENTO 750, COR AZUL, SEÇÃO NOMINAL CONDUTOR 6, BITOLA CONDUTOR 6. - 41920	100
CABO ELÉTRICO FLEXÍVEL, MATERIAL COBRE ELETROLÍTICO, REVESTIMENTO PVC, TEMPERATURA 70, TENSÃO ISOLAMENTO 750, COR PRETA, SEÇÃO NOMINAL CONDUTOR 2,5, BITOLA CONDUTOR 2,5. -	200
CABO ELÉTRICO FLEXÍVEL, MATERIAL COBRE ELETROLÍTICO, REVESTIMENTO PVC, TEMPERATURA 70, TENSÃO ISOLAMENTO 750, COR PRETA, SEÇÃO NOMINAL CONDUTOR 2,5, BITOLA CONDUTOR 3,5. -	200
CABO ELETRICO FLEXIVEL, TENSAO 750, TIPO PP, CABO 3X2,5	100
Cabo elétrico isolado, material condutor cobre, seção nominal 2,5mm, Tensão isolamento 450/750V, flexível, tipo pp, 2x2,5mm.	100
CABO EXTENSOR HDMI MACHO 19 PINOS, COMPRIMENTO 10M, MATERIAL DE COBRE.	20
CABO QUADRIFLEX FLEXIVEL, TIPO PP ( 4X2,5M ) - 324953	100
CABO REDE COMPUTADOR - Cabo de rede CAT.5e UTP. Caixa com 305 metros de cabo de rede de pares trança dos compostos por condutores sólidos de cobre, compatível com os padrões de rede 10 BASE-T/100BASE-TX/1000BASE-TX, categoria Cat5e. Deverá ser homologado pela Anatel, condutor: 24AWG, capa externa em PVC não propagante à cha com marcação sequencial métrica (305-001m) na embalagem, deverá atender à diretiva RoHS relaciona à preservação do meio ambiente, deverá atender aos requisitos da Norma ANSI/TIA/EIA 568B.2 e ISO/EIC 11801. MARCA: TDA.	2
CABO REDE COMPUTADOR- Cabo rede CAT.6e UTP. Caixa com 305 metros de cabo de rede de pares trançados compostos por condutores sólidos de cobre, compatível com padrões de rede 10BASE-T/100BASE-TX1000BASE-TX, categoria Cat.6e, deverá ser homologado pela Anatel, condutor: 24AWG, capa externa em PVC não propagante de chama com marcação sequencial métrica (305-001m) na embalagem, deverá atender à Diretiva RoHS relaciona à preservação do meio ambiente, deverá atender aos requisitos da Norma ANSI/TIA/EIA 568B.2 e ISO/EIC 11801. MARCA: NEXAN. CATMAT: 000129763. (Caixa)	4
Café, 500g, Tipo Torrado, Apresentação moído, Tipo embalagem a vácuo. Marca: Bico de Ouro. CATMAT: 000217366.	113
CAFÉ, TIPO TORRADO 250 G, APRESENTAÇÃO MOíDO, TIPO EMBALAGEM ALTO VáCUO, VALIDADE PRAZO MíNIMO DE 1 ANO, NORMAS TéCNICAS LAUDO DE CLASSIFICAçãO DE CAFé FEITO PELA ABIC, 236481	0
CAIXA ARQUIVO , MATERIAL CARTÃO ALCALINO LAMINADO , DIMENSOES BASE 34,5X23,5X6 E TAMPA DE 35,5 X 24,5 CATMAT 417228	148
CAIXA ARQUIVO AMARELA,PLASTICO CORRUGADO	0
CAIXA ARQUIVO MATERIAL PLÁSTICO , DIMENSÕES 135X240X360 , COR AZUL 230432	0
CAIXA ARQUIVO, MATERIAL PLÁSTICO, DIMENSÕES 135 X 250 X 360, COR VARIADA 269475	0
CAIXA DESCARGA, CAPACIDADE 9 LITROS, MATERIAL PLASTICO, COR BRANCA, ALTURA 33CM,LARGURA 30CM, PROFUNDIDADE 14CM. - 233939	20
CALCULADORA ELETRÔNICA 10 DÍGITOS , TIPO BOLSO , APLICAÇÃO FINANCEIRA , FONTE DE ALIMENTAÇÃO BATERIA , VISOR LCD 1 LINHA , MEMORIA DE 20 , SEM IMPRESSÃO , LARGURA 7,87 CM , ALTURA 12,70 CM CATMAT 329044	13
CALCULADORA ELETRÔNICA, 8 UN, MESA, BOLSO, COMERCIAL, BATERIA, 3 V, SEM IMPRESSÃO, COM VISOR VERDE, BEGE, 110 MM, 110 MM, 20 MM 241763	2
CALCULADORA Eletrônica, Número Dígitos 12, TIPO BOLSO, Aplicação Científica, FONTE Alimentação BATERIA, Tensão 12 227384	7
Canaleta PVC com divisória 50x50x2000mm. Produzida com material termoplástico com dimensões: 50x50x2000mm.	10
CANETA ESFEROGRÁFICA , MATERIAL PLASTICO , FORMATO CORPO CILÍNDRICO , MATERIAL PONTA PLASTICO COM ESFERA DE TUNGSTÊNIO ,TIPO ESCRITA GROSSA , COR TINTA AZUL 200069	441
CANETA ESFEROGRÁFICA , MATERIAL PLASTICO , FORMATO CORPO CILÍNDRICO , MATERIAL PONTA PLASTICO COM ESFERA DE TUNGSTÊNIO ,TIPO ESCRITA GROSSA , COR TINTA PRETA	64
CANETA ESFEROGRÁFICA , MATERIAL PLASTICO , FORMATO CORPO CILÍNDRICO , MATERIAL PONTA PLASTICO COM ESFERA DE TUNGSTÊNIO ,TIPO ESCRITA GROSSA , COR TINTA VERMELHA	15
CANETA MARCA TEXTO, PLASTICO, DIÂMETRO PONTA 4MM, COR AMARELA, PONTA FLUORESCENTE, NÃO RECARREGÁVEL. 200047	49
CANETA MARCA-TEXTO, COR ROSA	55
CANETA MARCA-TEXTO, MATERIAL PLÁSTICO, TIPO PONTA FLUORESCENTE, COR VERDE, TIPO NÃO RECARREGÁVEL 284710	20
CAPA PLASTICA, MATERIAL PLASTICO PVC, COR INCOLOR, PARA ENCADERNAÇÃO, LARGURA 220 MM, ALTURA 330 MM. 234091	20
Carrinho mão, material caçamba chapa aço galvanizado, material chassi ferro, material pés ferro, tipo travessa suporte dianteiro caçamba, quantidade roda: 1, tipo roda pneu maciço, com 3,2 POL de diâmentro, espessura caçamba 5 mm, comprimento eixo 25 cm, comprimento 80 cm, largura 62 cm, altura 20 cm.	4
CARTOLINA 180 G/M2 COMPRIMENTO 92, LARGURA 65MM COM BRANCA TIPO ALCALINO. CATMAT 291898	0
CARTOLINA, CELULOSE VEGETAL, COR VARIADA , 180 G/M2, COMPRIMENTO 730 MM, LARGURA 550 MM 233519	0
CARTOLINA, NOME CARTOLINA A GRANEL 1023	0
CHAVE AJUSTÁVEL, MATERIAL AÇO CROMO VANÁDIO, TAMANHO 24 POL, ABERTURA 600 MM, TIPO GRIFO MARCA: COLLINS	1
CHAVE DE FENDA 1/ 4X4" - 3743592	1
CHAVE DE FENDA 3/ 16X8"	1
CHAVE DE FENDA 3/16 x 4	1
Chave de fenda, material carbono temperado, cabo prolipropileno, tamanho 3/16x8. 32760.	1
Chave de partida magnética trifásica 380 volts, 5 cv.	1
Chave de partida magnética trifásica 380 volts, 7,5 cv	1
CHAVE DE TESTE ELÉTRICO, MATERIAL HASTE AÇO CROMO VANÁDIO, TIPO HASTE ISOLADA, COMPRIMENTO 135 MM, TIPO PONTA CHATA, MATERIAL CABO PLÁSTICO, COR CABO AZUL, CARACTERÍSTICAS ADICIONAIS COM LÂMPADA NEON E CLIPE, APLICAÇÃO IDENTIFICAÇÃO DE FASE EM CONDUTORES MARCA: WORKER	1
CHAVE GRIFO 36	1
CHUVEIRO PLÁSTICO FRIO. 72990	5
CIMENTO REFRATÁRIO Cimento Cp Iv saca com 50 Kg, aplicação Construção Civil. marca: Poty	56
CLIPE TAMANHO 0 CAIXA COM 50 UNIDADES	7
CLIPE TAMANHO 1/0	20
CLIPE TAMANHO 2/0	50
CLIPE TAMANHO 6/0 MATERIAL METAL FORMATO PARALELO MARCA BRW CAIXA COM 50 UNIDADES 271780	36
CLIPE, TRATAMENTO SUPERFICIAL NIQUELADO, TAMANHO 2/0, MATERIAL METAL, FORMATO PARALELO - CX. C/ 50 UN 272501	1
CLIPE, TRATAMENTO SUPERFICIAL NIQUELADO, TAMANHO 2/0, MATERIAL METAL, FORMATO PARALELO, CX C/ 100 UNIDADES	0
CLIPE, TRATAMENTO SUPERFICIAL NIQUELADO, TAMANHO 3/0, MATERIAL METAL, FORMATO PARALELO, CX. C/ 100 UN 275625	20
CLIPE, TRATAMENTO SUPERFICIAL NIQUELADO, TAMANHO 3/0, MATERIAL METAL, FORMATO PARALELO, CX. C/ 50 UN 275625	4
COLA , COMPOSIÇÃO POLIVINIL ACETATO - PVA , COR BRANCA APLICAÇÃO MATÉRIAS POROSOS , TIPO BASTÃO 10 GRAMAS 280335	0
COLA ADESIVA, COMPOSIÇÃO ACETONA/METILETILCETONA E RESINA PVC, APLICAÇÕES TUBOS E CONEXÕES DE PVC, APRESENTAÇÃO BISNAGA, 75g	0
COLA ESCOLAR , POLIVINIL ACETATO - PVA, FRASCO 90 G, PASTOSA, BRANCA, PARA PAPEL, FRASCO COM BICO APLICADOR 282967	44
COLA Instantânea , COMPOSIÇÃO ESTER DE CIANOACRILATO, COR INCOLOR, APLICAÇÃO VIDRO,BORRACHA,PLÁSTICO,PVC,METAL,ACRÍLICO,NÁILON, CARACTERÍSTICAS ADICIONAIS Super bond 345252	18
COLAGENASE, CONCENTRAÇÃO 1,2UI/G, USO POMADA	0
COLCHETE FIXAÇÃO, AÇO, LATONADO, Nº 4, CX. C/ 72 UN 278616	41
COLCHETE FIXAÇÃO, MATERIAL AÇO, TRATAMENTO SUPERFICIAL LATONADO, TAMANHO Nº 14, CX. C/ 72 UN 278612	26
COLETE ESPORTIVO, DUPLA FACE, MATERIAL TECIDO TRILOBAL COR VARIADA, TAMANHO VARIADO, 238774	0
COLETOR CAPACIDADE 7 LT	10
COLHER DESCARTáVEL, MATERIAL PLáSTICO, COR INCOLOR, APLICAçãO CAFé, CARACTERíSTICAS 356436	52
COLHER SOBREMESA,INOX,TAMANHO MEDIO - 240323	10
COLHER, MATERIAL CORPO AçO INOXIDáVEL, MATERIAL CABO AçO INOXIDáVEL, APLICAçãO SOPA, CARACTERíSTICAS ADICIONAIS LISA E POLIDA COM 1,50 MM DE ESPESSURA 337384	6
COLHER, MATERIAL CORPO AçO INOXIDáVEL, MATERIAL CABO AçO INOXIDáVEL, TAMANHO PEQUENO, TIPO CAFé, CARACTERíSTICAS ADICIONAIS LISA E POLIDA COM 1,50 MM DE ESPESSURA 247549	24
COMPRESSA GASE - material tecido 100% algodão, modelo cor branca, isenta de impurezas, 8 camadas, quantidade fios 13 fios/cm², largura 7,5 cm, comprimento 7,50 cm, 5 dobras, características adicionais com fio radiopaco, descartável. Marca: MED. CATMAT: 000407483.	0
COMPRESSA GAZE - material tipo tecido 100% algodão, modelo cor branca, isenta de impurezas, 8 camadas, quantidade de fios 13 fios/cm², largura 7,50 cm, comprimento 7,5 cm, 5 dobras, características adicionais com fio radiopaco, descartável. Marca MB TEXTIL. CATMAT: 000407483.	100
CONECTOR DERIVAÇÃO - Derivação roscável plástico ep f 3 polegadas. Marca: Viqua. CATMAT: 000150197.	3
CONECTOR inicial para santeno para anel de vedação. Marca: Implebras. CATMAT: 000150870.	6
CONECTOR para irrigação 4 mm. Marca: Amanco. CATMAT: 000150870.	100
Conector RJ45 CAT.5e pacotes de 50 unidades. Compatíveis com os padrões industriais de keystone jacks, patch panels e demais dispositivos de rede como switchs, placas de redes e roteadores. Compatível com os padrões TIA 568A ou 568B, fabricado com material termoplástico de alta temperatura. Contendo 8 vias de contato. Devendo atender as políticas de respeito ao meio ambiente (RoHS). MARCA: SPEEDLAN. CATMAT: 000139343.	0
Conector RJ45 CAT.5e pacotes de 50 unidades. Compatíveis com os padrões industriais de keystone jacks, patch panels e demais dispositivos de rede como switchs, placas de redes e roteadores. Compatível com os padrões TIA 568A ou 568B, fabricado com o material termoplástico de alta temperatura. Contendo 8 vias de contato. Devendo atender as políticas de respeito ao meio ambiente.	10
Conector RJ45 CAT.6e pacotes de 50 unidades. Compatíveis com os padrões industriais de keystone jacks, patch panels e demais dispositivos de rede como switchs, placas de rede e roteadores. Compatível com os padrões TIA 568A ou 568B, fabricado com material termoplástico de alta temperatura. Contendo 8 vias de contato e 3 partes para facilitação do processo e montagem. (Pacote)	30
Conector RJ45 CAT.6e. Utilizados em sistemas de cabeamento estruturado para tráfico de voz, dados e imagens. Compatível com as normas ANSI/TIA/EIA-568B.2 9Balanced Twisted Pair Cabling Components), com corpo em termoplástico de alto impacto e não propagante à chamas, compatível com os padrões TIA 568A ou 568B. MARCA: MULTITOC.	125
Conector RJ45 CAT.6e. Utilizados em sistemas de cabeamento estruturado para tráfico de voz, dados e imagens. Compatível com as normas ANSI/TIA/EIA-568B.2 9Balanced Twisted Pair Cabling Components), com corpo em termoplástico de alto impacto e não propagante à chamas, compatível com os padrões TIA 568A ou 568B. MARCA: MULTITOC. CATMAT: 000139343.	0
Conector RJ45 fêmea CAT.5e. Utilizados em sistemas de cabeamento estruturado para tráfico de voz, dados e imagens, compatível com as normas ANSI/TIA/EIA-568B.2 (Balanced Twisted Pair Cabling Components), com corpo em termoplástico de alto impacto e não propagante à chamas, compatível com os padrões TIA 568A ou 568B. MARCA: HI-TOP. CATMAT: 000139343. (Unidade).	25
CONEXÃO HIDRÁULICA - Tipo Espude para Vaso Sanitário, bitola 38mm x Dn 40. Embalagem com 20 unidades. MARCA: PLAST LIT. CATMAT: 000150575.	10
CONEXÃO HIDRÁULICA – Conexão hidráulica - Material PVC – Cloreto de Polivinila, Tipo Junção simples tipo fixação soldável. Aplicação instalações sanitária, bitola 100 x 50 mm. MARCA: Plastilit	2
CONEXÃO HIDRÁULICA – Conexão hidráulica - Material PVC – Cloreto de Polivinila, Tipo TÊ 90”, tipo fixação soldável. Aplicação instalações prediais água fria, bitola 20mm. MARCA: PLASTUBOS. CATMAT: 000150575.	25
CONEXÃO HIDRÁULICA – Conexão hidráulica - Material PVC – Cloreto de Polivinila, Tipo TÊ 90”, tipo fixação soldável. Aplicação instalações prediais água fria, bitola 50mm. Marca: Plastilit	20
CONEXÃO HIDRÁULICA – Material PVC – Cloreto de Polivinila, Tipo adaptador, tipo fixação soldável , Aplicação Instalações prediais água fria, bitola 50 x 25mm. MARCA: Plastilit	10
CONEXÃO HIDRÁULICA – Material PVC – Cloreto de Polivinila, Tipo cap, tipo fixação soldável. Aplicação instalações prediais água fria. Normas técnicas NBR 5648, bitola 20mm. MARCA: PLASTUBOS. CATMAT: 000375085.	25
CONEXÃO HIDRÁULICA – Material PVC – Cloreto de Polivinila, Tipo cap, tipo fixação soldável. Aplicação instalações prediais água fria. Normas técnicas NBR 5648, bitola 25mm. MARCA: PLASTUBOS. CATMAT: 000242783.	25
CONEXÃO HIDRÁULICA – Material PVC – Cloreto de Polivinila, Tipo Joelho 90º, tipo fixação soldável e roscável, sendo lado roscável em latão, cor azul. Aplicação instalações hidráulicas, bitola 25mm. Marca: Plastubos	10
CONEXÃO HIDRÁULICA – Material PVC – Cloreto de Polivinila, Tipo Joelho 90º, tipo fixação soldável. Aplicação instalações prediais fria, normas técnicas NBr 5648, bitola 20mm. MARCA: PLASTUBOS.	10
CONEXÃO HIDRÁULICA – Material PVC – Cloreto de Polivinila, Tipo luva de correr, tipo fixação anel borracha, aplicação instalações prediais água fria, bitola 20 mm. Marca: Plastilit	25
CONEXÃO HIDRÁULICA – Material PVC – Cloreto de Polivinila, Tipo luva de correr, tipo fixação soldável, aplicação instalações prediais água fria, bitola 25 mm. Marca: Krona	25
CONEXÃO HIDRÁULICA – Material PVC – Cloreto de Polivinila, Tipo luva, tipo fixação soldável. Aplicação instalações prediais água fria, bitola 20mm. MARCA: PLASTUBOS. CATMAT: 000245133.	50
CONEXAO HIDRAULICA PVC TIPO JOELHO 90, BITOLA 100MM	10
CONEXAO HIDRAULICA PVC TIPO JOELHO 90, BITOLA 50MM	5
CONEXAO HIDRAULICA PVC TIPO LUVA, TIPO FIXAÇÃO SOLDÁVEL, BITOLA 25MM	25
CONEXAO HIDRAULICA PVC TIPO TÊ 90, TIPO FIXAÇÃO SOLDÁVEL, BITOLA 25MM	30
Conexão hidráulica Tee de 50 x 3/4 soldável Marca: Plastubos	10
CONEXÃO HIDRÁULICA UNIÃO INTERNA 3/4 MARCA: GASPARZINHO	25
Conexão hidráulica, material PVC - Cloreto de polivinila, tipo joelho 45°, tipo fixação soldável, aplicação rede hidráulica e esgoto, bitola 100 mm Marca: Plast Lit	10
Conexão Hidráulica, material PVC - Cloreto de polivinila, tipo joelho 90°, tipo fixação soldável, aplicação instalação prediais água fria, normas técnicas NBr 5648, bitola 25 mm revestimento em latão. Marca: Plast Lit	10
Conexão hidráulica, material PVC - Cloreto de polivinila, tipo luva, tipo fixação soldável, aplicação instalações prediais fria, bitola 50mm, Marca: Plastubos	20
Conexão hidráulica, material pvc - cloreto de polivinila, tipo tê, tipo fixação soldável, aplicação instalação sanitária, normas técnicas NBr 5688, bitola 100 x 50mm Marca: Plasbuto	2
Conjunto chaves combinadas, material aço, tamanho 6 a 32mm, aplicação parafusos e porcas sextavadas e quadradas Marca: Tramontina	1
